"filename", "language", "HTML", "JSON", "JavaScript", "Markdown", "JavaScript JSX", "PostCSS", "Ignore", "comment", "blank", "total"
"c:\PADHAI\webwiz hackathon\backend\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, -2, 0, 0, -2
"c:\PADHAI\webwiz hackathon\backend\.prettierrc", "JSON", 0, -10, 0, 0, 0, 0, 0, 0, -1, -11
"c:\PADHAI\webwiz hackathon\backend\package-lock.json", "JSON", 0, -2301, 0, 0, 0, 0, 0, 0, -1, -2302
"c:\PADHAI\webwiz hackathon\backend\package.json", "JSON", 0, -31, 0, 0, 0, 0, 0, 0, -1, -32
"c:\PADHAI\webwiz hackathon\backend\scripts\migrate-soft-delete.js", "JavaScript", 0, 0, -29, 0, 0, 0, 0, -20, -10, -59
"c:\PADHAI\webwiz hackathon\backend\src\app.js", "JavaScript", 0, 0, -35, 0, 0, 0, 0, -4, -8, -47
"c:\PADHAI\webwiz hackathon\backend\src\controllers\answer.controller.js", "JavaScript", 0, 0, -105, 0, 0, 0, 0, -5, -27, -137
"c:\PADHAI\webwiz hackathon\backend\src\controllers\auth.controller.js", "JavaScript", 0, 0, -322, 0, 0, 0, 0, -16, -81, -419
"c:\PADHAI\webwiz hackathon\backend\src\controllers\course.controller.js", "JavaScript", 0, 0, -148, 0, 0, 0, 0, -11, -35, -194
"c:\PADHAI\webwiz hackathon\backend\src\controllers\document.controller.js", "JavaScript", 0, 0, -157, 0, 0, 0, 0, -19, -31, -207
"c:\PADHAI\webwiz hackathon\backend\src\controllers\module.controller.js", "JavaScript", 0, 0, -120, 0, 0, 0, 0, -2, -29, -151
"c:\PADHAI\webwiz hackathon\backend\src\controllers\qa.controller.js", "JavaScript", 0, 0, -82, 0, 0, 0, 0, -16, -20, -118
"c:\PADHAI\webwiz hackathon\backend\src\controllers\question.controller.js", "JavaScript", 0, 0, -128, 0, 0, 0, 0, -3, -28, -159
"c:\PADHAI\webwiz hackathon\backend\src\db\db.js", "JavaScript", 0, 0, -15, 0, 0, 0, 0, 0, -3, -18
"c:\PADHAI\webwiz hackathon\backend\src\middlewares\auth.middleware.js", "JavaScript", 0, 0, -34, 0, 0, 0, 0, -10, -10, -54
"c:\PADHAI\webwiz hackathon\backend\src\middlewares\error-handler.middleware.js", "JavaScript", 0, 0, -44, 0, 0, 0, 0, -8, -11, -63
